Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1/19/1936,Monarch No. 2,Broomfield,CO,8,Coal,Explosion,UG,Coal
7/31/1936,Kathleen,Dowell,IL,9,Coal,Fire,UG,Coal
8/12/1936,Mountain City Copper Co.,"Mountain City, Elko County",NV,6,Copper,Suffocation,UG,Metal
8/23/1936,Clear Spring,West Pittston,PA,5,Coal,Explosion,UG,Coal
9/1/1936,Macbeth,Macbeth,WV,10,Coal,Explosion,UG,Coal
10/5/1936,Morning Mine,Mullan,ID,10,Lead,Cage fall (shaft),UG,Metal
11/18/1936,Bates,Bates,AR,5,Coal,Explosion,UG,Coal
11/29/1936,Funkhouser Quarry,Delta,PA,9,Slate,Explosives,Surface,Stone
2/18/1937,Walker,Walkermine,CA,6,Copper,Explosives,UG,Metal
3/10/1937,Macbeth,Macbeth,WV,18,Coal,Explosion,UG,Coal
3/27/1937,Kramer,Dubois,PA,9,Coal,Explosion,UG,Coal
6/20/1937,Rupert Mine,Keystone,OH,6,Coal,Explosives,UG,Coal
7/14/1937,Baker,Sullivan,IN,20,Coal,Explosion,UG,Coal
10/14/1937,Mulga,Mulga,AL,34,Coal,Explosion,UG,Coal
10/25/1937,Jonesville,Jonesville,AK,14,Coal,Explosion,UG,Coal
1/11/1938,Harwick,Harwick,PA,10,Coal,Explosion,UG,Coal
2/10/1938,Vail (Star Valley),Afton,WY,5,Coal,Explosion,UG,Coal
4/21/1938,Keen Mountain,Hanger,VA,45,Coal,Explosion,UG,Coal
4/26/1938,No. 1 Slope,Pottsville,PA,8,Coal,Explosion,UG,Coal
6/1/1938,Butler Slope,Pittston,PA,10,Coal,Explosion,UG,Coal
6/30/1938,Praco No. 7,Praco,AL,6,Coal,Roof Fall/Bump,UG,Coal
8/30/1938,Ashville Quarry,Ashville,NC,5,Granite,Dynamite explosion,Surface,Stone
1/30/1939,Southern,Treece,KS,5,Zinc,Roof fall,UG,Nonmetal
7/13/1939,Duvin,Providence,KY,28,Coal,Explosion,UG,Coal
1/9/1940,Pond Creek No. 1,Bartley,WV,91,Coal,Explosion,UG,Coal
3/15/1940,Willow Grove No. 10,St. Clairsville,OH,72,Coal,Explosion,UG,Coal
7/14/1940,Sonman,Portage,PA,63,Coal,Explosion,UG,Coal
8/26/1940,No. 2,Bates,AR,10,Coal,Explosion,UG,Coal
11/28/1940,Nelms,Cadiz,OH,31,Coal,Explosion,UG,Coal
12/16/1940,No. 4,Raleigh,WV,9,Coal,Explosion,UG,Coal
1/21/1941,Carswell,Kimball,WV,6,Coal,Explosion,UG,Coal
2/13/1941,Fidelity,DuQuoin,IL,7,Coal,Explosives,UG,Coal
5/21/1941,Panhandle No. 2,Bicknell,IN,14,Coal,Explosion,UG,Coal
6/3/1941,Docena,Adamsville,AL,5,Coal,Explosion,UG,Coal
6/29/1941,Kent No. 2,McIntyre,PA,7,Coal,Explosion,UG,Coal
7/9/1941,Acmar No. 6,Acmar,AL,11,Coal,Explosion,UG,Coal
10/26/1941,Daniel Boone,Daniel Boone,KY,15,Coal,Explosion,UG,Coal
12/27/1941,No. 47,Harco,IL,8,Coal,Explosion,UG,Coal
1/8/1942,Pride,Silverton,CO,8,"Copper, Zinc, Lead, Gold, Silver",Fumes from surface fire at portal,UG,Metal
1/26/1942,Wadge,Mount Harris,CO,34,Coal,Explosion,UG,Coal
3/26/1942,Sandts Eddy Quarry,Allentown,PA,31,Limestone,Quarry blast,Surface,Stone
5/10/1942,Peerless No. 2,Excelsior,AR,6,Coal,Explosion,UG,Coal
5/11/1942,Christopher No. 3,Osage,WV,56,Coal,Explosion,UG,Coal
5/17/1942,Hitchman,Benwood,WV,5,Coal,Explosion,UG,Coal
7/8/1942,Pursglove No. 2,Pursglove,WV,20,Coal,Explosion,UG,Coal
11/30/1942,West KY No. 10,Wheatcroft,KY,6,Coal,Explosion,UG,Coal
12/15/1942,Laing No. 1,Laing,WV,5,Coal,Haulage,UG,Coal
1/5/1943,Boyd Mine,Ducktown,TN,9,Copper,Explosion,UG,Metal
1/8/1943,No. 15,Pursglove,WV,13,Coal,Fire,UG,Coal
2/10/1943,C. F. & H.,Shullsburg,WI,8,"Lead, Zinc",Cave-ins (2),UG,Metal
2/27/1943,Smith,Washoe,MT,74,Coal,Explosion,UG,Coal
3/15/1943,Atkinson Quarry,Excursion Inlet,AK,5,Rock,Blasting,Surface,Stone
5/4/1943,NuRex,LaFollette,TN,10,Coal,Explosion,UG,Coal
5/10/1943,Praco No. 10,Praco,AL,12,Coal,Explosion,UG,Coal
8/27/1943,"Sayreton, No. 2",Sayreton,AL,28,Coal,Explosion,UG,Coal
9/15/1943,3 Point,Three Point,KY,12,Coal,Explosion,UG,Coal
9/23/1943,Primrose Colliery,Minersville,PA,14,Coal,Explosion,UG,Coal
11/6/1943,Nellis No. 3,Madison,WV,11,Coal,Explosion,UG,Coal
3/24/1944,Katherine No. 4,Lumberport,WV,16,Coal,Explosion,UG,Coal
6/6/1944,Emerald,Clarksville,PA,6,Coal,Fire,UG,Coal
7/4/1944,Powhatan,Powhatan Point,OH,66,Coal,Fire,UG,Coal
7/27/1944,Brilliant No. 2,Brilliant,NM,6,Coal,Explosion,UG,Coal
1/17/1945,Bond Valley,Haileyville,OK,9,Coal,Explosion,UG,Coal
2/20/1945,St. Anthony,Tiger,AZ,5,"Lead, Zinc",Bunkhouse fire,Surface,Metal
3/12/1945,Crucible,Crucible,PA,5,Coal,Roof/bump,UG,Coal
3/14/1945,Kennilworth,Kennilworth,UT,7,Coal,Explosion,UG,Coal
5/8/1945,No. 1,Sunnyside,UT,23,Coal,Explosion,UG,Coal
12/25/1945,Belva No. 1,Fourmile,KY,25,Coal,Explosion,UG,Coal
1/14/1946,Havaco No. 9,Havaco,WV,15,Coal,Explosion,UG,Coal
4/17/1946,Great Valley,McCoy,VA,12,Coal,Explosion,UG,Coal
1/14/1947,Nottingham,Plymouth,PA,15,Coal,Explosion,UG,Coal
3/24/1947,No. 5,Centralia,IL,111,Coal,Explosion,UG,Coal
4/9/1947,Schooley,Exeter,PA,10,Coal,Explosion,UG,Coal
4/29/1947,Spring Hill,Terre Haute,IN,8,Coal,Explosion,UG,Coal
7/23/1947,Old Ben No. 8,W. Frankfort,IL,27,Coal,Explosion,UG,Coal
12/10/1947,Franklin,Wilkes-Barre,PA,8,Coal,Explosion,UG,Coal
2/7/1948,Sun Excelsior,Excelsior,AR,8,Coal,Explosion,UG,Coal
5/19/1948,No. 2,Dante,VA,6,Coal,Roof/bump,UG,Coal
7/26/1948,King,Princeton,IN,13,Coal,Explosion,UG,Coal
7/29/1948,Edgewater,Birmingham,AL,11,Coal,Explosion,UG,Coal
8/5/1948,No. 11,Capels,WV,6,Coal,Roof fall/bump,UG,Coal
11/3/1948,Milt No. 1,Kitzmiller,MD,5,Coal,Fire,UG,Coal
7/15/1950,"Lark, U.S. Smelting",Lark,UT,5,"Lead, Zinc",Fire,UG,Metal
1/17/1951,Burning Springs,Kermit,WV,11,Coal,Explosion,UG,Coal
3/28/1951,Buttonwood,Wilkes-Barre,PA,5,Coal,Explosion,UG,Coal
10/14/1951,Bunker,Cassville,WV,10,Coal,Explosion,UG,Coal
10/30/1951,United Gas No. 1,United,WV,12,Coal,Explosion,UG,Coal
12/20/1951,Orient No. 2,West Frankfort,IL,119,Coal,Explosion,UG,Coal
2/1/1952,Carpentertown,Carpentertown,PA,6,Coal,Explosion,UG,Coal
3/26/1952,Holmes Slope,Minersville,PA,5,Coal,Inundation,UG,Coal
7/23/1952,Arizona Precast Concrete,Apache Junction,AZ,5,Rock & Stone,"Collapse load, trestle",Surface,Stone
